# Feed TDS,Temperature,TDS mg/L,Density,Osmotic Pressure
4.838276e-02,3.161500e+02,4.838276e-02,1.026616e+03,3.662350e+06
4.838276e-02,3.171500e+02,4.838276e-02,1.026182e+03,3.672293e+06
4.838276e-02,3.181500e+02,4.838276e-02,1.025742e+03,3.682151e+06
4.838276e-02,3.191500e+02,4.838276e-02,1.025297e+03,3.691927e+06
4.838276e-02,3.201500e+02,4.838276e-02,1.024847e+03,3.701621e+06
4.838276e-02,3.211500e+02,4.838276e-02,1.024391e+03,3.711234e+06
4.838276e-02,3.221500e+02,4.838276e-02,1.023930e+03,3.720765e+06
4.838276e-02,3.231500e+02,4.838276e-02,1.023464e+03,3.730216e+06
4.838276e-02,3.241500e+02,4.838276e-02,1.022992e+03,3.739587e+06
4.838276e-02,3.251500e+02,4.838276e-02,1.022516e+03,3.748879e+06
4.838276e-02,3.261500e+02,4.838276e-02,1.022034e+03,3.758091e+06
4.838276e-02,3.271500e+02,4.838276e-02,1.021548e+03,3.767225e+06
4.838276e-02,3.281500e+02,4.838276e-02,1.021056e+03,3.776281e+06
4.838276e-02,3.291500e+02,4.838276e-02,1.020560e+03,3.785259e+06
4.838276e-02,3.301500e+02,4.838276e-02,1.020059e+03,3.794160e+06
4.838276e-02,3.311500e+02,4.838276e-02,1.019553e+03,3.802984e+06
4.838276e-02,3.321500e+02,4.838276e-02,1.019042e+03,3.811731e+06
4.838276e-02,3.331500e+02,4.838276e-02,1.018526e+03,3.820403e+06
4.838276e-02,3.341500e+02,4.838276e-02,1.018006e+03,3.828998e+06
4.838276e-02,3.351500e+02,4.838276e-02,1.017481e+03,3.837517e+06
4.838276e-02,3.361500e+02,4.838276e-02,1.016951e+03,3.845962e+06
4.838276e-02,3.371500e+02,4.838276e-02,1.016417e+03,3.854331e+06
4.838276e-02,3.381500e+02,4.838276e-02,1.015878e+03,3.862626e+06
4.838276e-02,3.391500e+02,4.838276e-02,1.015334e+03,3.870847e+06
4.838276e-02,3.401500e+02,4.838276e-02,1.014787e+03,3.878993e+06
4.838276e-02,3.411500e+02,4.838276e-02,1.014234e+03,3.887065e+06
4.838276e-02,3.421500e+02,4.838276e-02,1.013678e+03,3.895064e+06
