# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,Mem Area RO1,P1
1.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,8.629398e-01,1.004848e+02,6.768748e+06
1.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,7.886751e-01,1.004848e+02,6.768748e+06
1.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,6.666667e-01,1.004848e+02,6.768748e+06
1.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,5.626871e-01,1.004848e+02,6.768748e+06
1.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.055050e-01,1.004848e+02,6.768748e+06
1.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,8.495279e-01,1.004848e+02,6.768748e+06
1.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.384168e-01,1.004848e+02,6.768748e+06
1.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,6.000000e-01,1.004848e+02,6.768748e+06
2.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.280257e-01,1.004848e+02,6.768748e+06
2.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,8.837959e-01,1.004848e+02,6.768748e+06
2.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.886751e-01,1.004848e+02,6.768748e+06
2.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,6.378510e-01,1.004848e+02,6.768748e+06
2.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.419091e-01,1.004848e+02,6.768748e+06
2.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.055050e-01,1.004848e+02,6.768748e+06
2.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.239266e-01,1.004848e+02,6.768748e+06
2.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,6.735373e-01,1.004848e+02,6.768748e+06
3.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.513131e-01,1.004848e+02,6.768748e+06
3.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.204314e-01,1.004848e+02,6.768748e+06
3.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.495279e-01,1.004848e+02,6.768748e+06
3.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.055050e-01,1.004848e+02,6.768748e+06
3.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.581009e-01,1.004848e+02,6.768748e+06
3.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.313066e-01,1.004848e+02,6.768748e+06
3.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.688094e-01,1.004848e+02,6.768748e+06
3.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.333333e-01,1.004848e+02,6.768748e+06
4.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.632297e-01,1.004848e+02,6.768748e+06
4.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.395764e-01,1.004848e+02,6.768748e+06
4.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.837959e-01,1.004848e+02,6.768748e+06
4.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.572599e-01,1.004848e+02,6.768748e+06
4.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.672409e-01,1.004848e+02,6.768748e+06
4.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.460742e-01,1.004848e+02,6.768748e+06
4.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.957538e-01,1.004848e+02,6.768748e+06
4.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.777778e-01,1.004848e+02,6.768748e+06
5.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.704636e-01,1.004848e+02,6.768748e+06
5.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.513131e-01,1.004848e+02,6.768748e+06
5.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.055050e-01,1.004848e+02,6.768748e+06
5.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,7.954188e-01,1.004848e+02,6.768748e+06
5.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.731094e-01,1.004848e+02,6.768748e+06
5.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.556259e-01,1.004848e+02,6.768748e+06
5.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.136028e-01,1.004848e+02,6.768748e+06
5.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.106655e-01,1.004848e+02,6.768748e+06
6.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.753204e-01,1.004848e+02,6.768748e+06
6.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.592378e-01,1.004848e+02,6.768748e+06
6.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.204314e-01,1.004848e+02,6.768748e+06
6.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.239266e-01,1.004848e+02,6.768748e+06
6.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.771955e-01,1.004848e+02,6.768748e+06
6.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.623068e-01,1.004848e+02,6.768748e+06
6.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.262655e-01,1.004848e+02,6.768748e+06
6.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.355373e-01,1.004848e+02,6.768748e+06
7.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.788060e-01,1.004848e+02,6.768748e+06
7.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.649464e-01,1.004848e+02,6.768748e+06
7.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.313066e-01,1.004848e+02,6.768748e+06
7.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.457699e-01,1.004848e+02,6.768748e+06
7.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.802040e-01,1.004848e+02,6.768748e+06
7.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.672409e-01,1.004848e+02,6.768748e+06
7.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.357052e-01,1.004848e+02,6.768748e+06
7.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.548446e-01,1.004848e+02,6.768748e+06
8.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.814291e-01,1.004848e+02,6.768748e+06
8.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.692536e-01,1.004848e+02,6.768748e+06
8.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.395764e-01,1.004848e+02,6.768748e+06
8.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.629398e-01,1.004848e+02,6.768748e+06
8.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.825114e-01,1.004848e+02,6.768748e+06
8.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.710336e-01,1.004848e+02,6.768748e+06
8.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.430094e-01,1.004848e+02,6.768748e+06
8.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.702010e-01,1.004848e+02,6.768748e+06
9.000000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.834745e-01,1.004848e+02,6.768748e+06
9.000000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.726188e-01,1.004848e+02,6.768748e+06
9.000000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.460742e-01,1.004848e+02,6.768748e+06
9.000000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.767472e-01,1.004848e+02,6.768748e+06
9.500000e-03,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.843372e-01,1.004848e+02,6.768748e+06
9.500000e-03,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.740396e-01,1.004848e+02,6.768748e+06
9.500000e-03,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.488270e-01,1.004848e+02,6.768748e+06
9.500000e-03,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.826766e-01,1.004848e+02,6.768748e+06
1.000000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.851142e-01,1.004848e+02,6.768748e+06
1.000000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.753204e-01,1.004848e+02,6.768748e+06
1.000000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.513131e-01,1.004848e+02,6.768748e+06
1.000000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.880708e-01,1.004848e+02,6.768748e+06
1.050000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.858178e-01,1.004848e+02,6.768748e+06
1.050000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.764807e-01,1.004848e+02,6.768748e+06
1.050000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.535692e-01,1.004848e+02,6.768748e+06
1.050000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.929977e-01,1.004848e+02,6.768748e+06
1.100000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.864579e-01,1.004848e+02,6.768748e+06
1.100000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.775369e-01,1.004848e+02,6.768748e+06
1.100000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.556259e-01,1.004848e+02,6.768748e+06
1.100000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,8.975147e-01,1.004848e+02,6.768748e+06
1.150000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.870427e-01,1.004848e+02,6.768748e+06
1.150000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.785023e-01,1.004848e+02,6.768748e+06
1.150000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.575084e-01,1.004848e+02,6.768748e+06
1.150000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.016700e-01,1.004848e+02,6.768748e+06
1.200000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.875791e-01,1.004848e+02,6.768748e+06
1.200000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.793882e-01,1.004848e+02,6.768748e+06
1.200000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.592378e-01,1.004848e+02,6.768748e+06
1.200000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.055050e-01,1.004848e+02,6.768748e+06
1.250000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.880729e-01,1.004848e+02,6.768748e+06
1.250000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.802040e-01,1.004848e+02,6.768748e+06
1.250000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.608323e-01,1.004848e+02,6.768748e+06
1.250000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.090549e-01,1.004848e+02,6.768748e+06
1.300000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.885289e-01,1.004848e+02,6.768748e+06
1.300000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.809577e-01,1.004848e+02,6.768748e+06
1.300000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.623068e-01,1.004848e+02,6.768748e+06
1.300000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.123501e-01,1.004848e+02,6.768748e+06
1.350000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.889513e-01,1.004848e+02,6.768748e+06
1.350000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.816561e-01,1.004848e+02,6.768748e+06
1.350000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.636744e-01,1.004848e+02,6.768748e+06
1.350000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.154166e-01,1.004848e+02,6.768748e+06
1.400000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.893437e-01,1.004848e+02,6.768748e+06
1.400000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.823052e-01,1.004848e+02,6.768748e+06
1.400000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.649464e-01,1.004848e+02,6.768748e+06
1.400000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.182774e-01,1.004848e+02,6.768748e+06
1.450000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.897092e-01,1.004848e+02,6.768748e+06
1.450000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.829098e-01,1.004848e+02,6.768748e+06
1.450000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.661324e-01,1.004848e+02,6.768748e+06
1.450000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.209523e-01,1.004848e+02,6.768748e+06
1.500000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.900505e-01,1.004848e+02,6.768748e+06
1.500000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.834745e-01,1.004848e+02,6.768748e+06
1.500000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.672409e-01,1.004848e+02,6.768748e+06
1.500000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.234588e-01,1.004848e+02,6.768748e+06
1.550000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.903699e-01,1.004848e+02,6.768748e+06
1.550000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.840031e-01,1.004848e+02,6.768748e+06
1.550000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.682791e-01,1.004848e+02,6.768748e+06
1.550000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.258120e-01,1.004848e+02,6.768748e+06
