# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,RO1_Feed_pH,HCl dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
4.000000e-03,5.000000e-04,9.474655e-01,5.288388e+00,5.930276e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.571429e-01,9.550328e+00,1.571105e+01,1.073529e+02,9.818111e+01,6.896833e+06,6.896833e+06
4.000000e-03,1.000000e-03,9.405371e-01,5.287379e+00,5.927493e-01,5.000000e-01,5.500000e+00,6.034157e+01,6.666668e-01,8.543552e+00,4.588950e+00,1.074212e+02,9.814087e+01,6.892133e+06,6.892133e+06
4.000000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
4.500000e-03,3.000000e-04,9.529991e-01,5.289195e+00,5.932493e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.285714e-01,1.013995e+01,2.459489e+01,1.072985e+02,9.821317e+01,6.900584e+06,6.900584e+06
4.500000e-03,5.000000e-04,9.485189e-01,5.288542e+00,5.930699e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.750000e-01,9.677088e+00,1.740216e+01,1.073425e+02,9.818722e+01,6.897547e+06,6.897547e+06
4.500000e-03,1.000000e-03,9.415680e-01,5.287529e+00,5.927908e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.142858e-01,8.757082e+00,6.243894e+00,1.074110e+02,9.814687e+01,6.892832e+06,6.892832e+06
4.500000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
5.000000e-03,3.000000e-04,9.540504e-01,5.289349e+00,5.932914e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.361702e-01,1.022209e+01,2.628279e+01,1.072881e+02,9.821926e+01,6.901296e+06,6.901296e+06
5.000000e-03,5.000000e-04,9.494279e-01,5.288674e+00,5.931063e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.888889e-01,9.783152e+00,1.886155e+01,1.073336e+02,9.819249e+01,6.898164e+06,6.898164e+06
5.000000e-03,1.000000e-03,9.426346e-01,5.287684e+00,5.928337e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.500001e-01,8.930003e+00,7.955967e+00,1.074005e+02,9.815307e+01,6.893556e+06,6.893556e+06
5.000000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
5.500000e-03,3.000000e-04,9.550832e-01,5.289500e+00,5.933327e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.423077e-01,1.029349e+01,2.794093e+01,1.072780e+02,9.822523e+01,6.901995e+06,6.901995e+06
5.500000e-03,5.000000e-04,9.502391e-01,5.288793e+00,5.931388e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.000000e-01,9.873808e+00,2.016384e+01,1.073256e+02,9.819719e+01,6.898713e+06,6.898713e+06
5.500000e-03,1.000000e-03,9.436564e-01,5.287833e+00,5.928747e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.777778e-01,9.073908e+00,9.596281e+00,1.073904e+02,9.815900e+01,6.894250e+06,6.894250e+06
5.500000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
6.000000e-03,3.000000e-04,9.561087e-01,5.289650e+00,5.933737e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.473684e-01,1.035657e+01,2.958743e+01,1.072679e+02,9.823116e+01,6.902690e+06,6.902690e+06
6.000000e-03,5.000000e-04,9.509863e-01,5.288902e+00,5.931688e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.090909e-01,9.952627e+00,2.136348e+01,1.073182e+02,9.820152e+01,6.899220e+06,6.899220e+06
6.000000e-03,1.000000e-03,9.445961e-01,5.287970e+00,5.929125e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.000000e-01,9.196222e+00,1.110469e+01,1.073811e+02,9.816446e+01,6.894887e+06,6.894887e+06
6.000000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
6.500000e-03,3.000000e-04,9.571340e-01,5.289799e+00,5.934147e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.516129e-01,1.041306e+01,3.123367e+01,1.072579e+02,9.823708e+01,6.903384e+06,6.903384e+06
6.500000e-03,5.000000e-04,9.516865e-01,5.289004e+00,5.931968e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.166667e-01,1.002212e+01,2.248757e+01,1.073114e+02,9.820557e+01,6.899694e+06,6.899694e+06
6.500000e-03,1.000000e-03,9.454374e-01,5.288092e+00,5.929462e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.181818e-01,9.301955e+00,1.245527e+01,1.073729e+02,9.816935e+01,6.895458e+06,6.895458e+06
6.500000e-03,2.400000e-03,9.383012e-01,5.287053e+00,5.926594e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.690220e-01,7.794960e+00,1.000004e+00,1.074433e+02,9.812786e+01,6.890614e+06,6.890614e+06
7.000000e-03,3.000000e-04,9.581649e-01,5.289950e+00,5.934559e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.552239e-01,1.046425e+01,3.288892e+01,1.072477e+02,9.824304e+01,6.904081e+06,6.904081e+06
7.000000e-03,5.000000e-04,9.523520e-01,5.289101e+00,5.932234e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.230769e-01,1.008411e+01,2.355604e+01,1.073048e+02,9.820943e+01,6.900145e+06,6.900145e+06
7.000000e-03,1.000000e-03,9.461885e-01,5.288202e+00,5.929764e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.333334e-01,9.394624e+00,1.366112e+01,1.073655e+02,9.817371e+01,6.895967e+06,6.895967e+06
7.000000e-03,2.400000e-03,9.383983e-01,5.287067e+00,5.926633e-01,5.000000e-01,5.500000e+00,6.034157e+01,4.782611e-01,7.826322e+00,1.155707e+00,1.074423e+02,9.812843e+01,6.890680e+06,6.890680e+06
