# Feed Mass Frac,# Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
3.500000e-02,1.000000e+00,2.981500e+02,1.044702e+03,-9.605332e+04,3.037728e+03
3.500000e-02,1.000000e+00,3.081500e+02,1.039581e+03,-1.350114e+05,5.389485e+03
3.500000e-02,1.000000e+00,3.181500e+02,1.035269e+03,-1.739928e+05,9.184145e+03
3.500000e-02,1.000000e+00,3.281500e+02,1.030522e+03,-2.130251e+05,1.507918e+04
3.500000e-02,1.000000e+00,3.381500e+02,1.025342e+03,-2.520968e+05,2.393574e+04
3.500000e-02,1.000000e+00,3.481500e+02,1.019731e+03,-2.912182e+05,3.684310e+04
3.500000e-02,1.000000e+00,3.581500e+02,1.013695e+03,-3.304164e+05,5.514028e+04
3.500000e-02,1.000000e+00,3.681500e+02,1.007260e+03,-3.697295e+05,8.043108e+04
3.500000e-02,2.000000e+00,2.981500e+02,1.041125e+03,-9.676245e+04,3.044034e+03
3.500000e-02,2.000000e+00,3.081500e+02,1.037386e+03,-1.358769e+05,5.404836e+03
3.500000e-02,2.000000e+00,3.181500e+02,1.032992e+03,-1.750987e+05,9.209308e+03
3.500000e-02,2.000000e+00,3.281500e+02,1.027992e+03,-2.144012e+05,1.511746e+04
3.500000e-02,2.000000e+00,3.381500e+02,1.022421e+03,-2.537804e+05,2.398993e+04
3.500000e-02,2.000000e+00,3.481500e+02,1.016401e+03,-2.932402e+05,3.691620e+04
3.500000e-02,2.000000e+00,3.581500e+02,1.009000e+03,-3.329431e+05,5.520223e+04
3.500000e-02,2.000000e+00,3.681500e+02,1.002501e+03,-3.726171e+05,8.051575e+04
3.500000e-02,4.000000e+00,2.981500e+02,1.036303e+03,-9.744199e+04,3.045409e+03
3.500000e-02,4.000000e+00,3.081500e+02,1.032501e+03,-1.367997e+05,5.406947e+03
3.500000e-02,4.000000e+00,3.181500e+02,1.028031e+03,-1.762685e+05,9.212231e+03
3.500000e-02,4.000000e+00,3.281500e+02,1.023027e+03,-2.158181e+05,1.512179e+04
3.500000e-02,4.000000e+00,3.381500e+02,1.017101e+03,-2.554932e+05,2.399074e+04
3.500000e-02,4.000000e+00,3.481500e+02,1.011392e+03,-2.951843e+05,3.692325e+04
3.500000e-02,4.000000e+00,3.581500e+02,1.005251e+03,-3.349895e+05,5.525347e+04
3.500000e-02,4.000000e+00,3.681500e+02,9.987002e+02,-3.749534e+05,8.058617e+04
5.000000e-02,2.500000e-01,2.981500e+02,1.077093e+03,-9.111770e+04,2.984908e+03
5.000000e-02,2.500000e-01,3.081500e+02,1.071819e+03,-1.283163e+05,5.297293e+03
5.000000e-02,2.500000e-01,3.181500e+02,1.066770e+03,-1.655807e+05,9.026221e+03
5.000000e-02,2.500000e-01,3.281500e+02,1.061760e+03,-2.028242e+05,1.482251e+04
5.000000e-02,2.500000e-01,3.381500e+02,1.056756e+03,-2.399915e+05,2.353827e+04
5.000000e-02,2.500000e-01,3.481500e+02,1.051324e+03,-2.771176e+05,3.624648e+04
5.000000e-02,2.500000e-01,3.581500e+02,1.045400e+03,-3.142238e+05,5.426743e+04
5.000000e-02,2.500000e-01,3.681500e+02,1.039238e+03,-3.512905e+05,7.919327e+04
5.000000e-02,5.000000e-01,2.981500e+02,1.072995e+03,-9.178833e+04,2.992043e+03
5.000000e-02,5.000000e-01,3.081500e+02,1.070447e+03,-1.290310e+05,5.317959e+03
5.000000e-02,5.000000e-01,3.181500e+02,1.064940e+03,-1.665478e+05,9.058354e+03
5.000000e-02,5.000000e-01,3.281500e+02,1.056980e+03,-2.043508e+05,1.484918e+04
