,Conc,T,pH,titrantAmount,deltaCalcite,deltaAnhydrite
0,1.0,20.0,5.9999999999999885,0.0013056954245115242,0.03485285974552532,0.06267074971206732
1,1.0,20.0,7.0,-0.05142636997450588,-2.504663143554353e-13,-7.460698725481052e-14
2,1.0,20.0,8.0,-0.0055710640451799385,1.7763568394002505e-15,1.6824053261643712e-10
3,1.0,20.0,9.000000000000002,-0.0007409305369832983,-5.329070518200751e-15,-1.38921762982136e-10
4,1.0,20.0,10.0,-0.0003145917423686028,0.0,-1.7390533457728452e-12
5,1.0,30.0,6.000000000000001,0.04589194685515547,-8.881784197001252e-15,9.685940938197746e-11
6,1.0,30.0,7.0,-0.040616233821247384,9.78594982825598e-12,-4.085620730620576e-14
7,1.0,30.0,8.0,-0.004417247549660121,-4.796163466380676e-14,1.7115198147621413e-10
8,1.0,30.0,9.0,-0.0005979134225997077,-3.552713678800501e-15,-4.347633364432113e-11
9,1.0,30.0,10.0,-0.0005856337553463214,-1.7763568394002505e-15,-1.1226575225009583e-12
10,1.0,40.0,6.0,0.03764416236739596,-2.376765451117535e-12,2.1747936784777266e-11
11,1.0,40.0,7.0,-0.03306118129092962,2.298961021551804e-11,0.0
12,1.0,40.0,8.0,-0.0035483670848831016,-7.283063041541027e-14,7.016609515630989e-13
13,1.0,40.0,9.0,-0.0005292144536972969,0.0,-8.990319599888608e-11
14,1.0,40.0,10.0,-0.0011475442918703128,0.0,-6.750155989720952e-14
15,1.0,50.0,6.0,0.032048209612304375,5.684341886080802e-14,9.768186259861977e-12
16,1.0,50.0,7.0,-0.027603046524141105,8.881784197001252e-14,-1.474376176702208e-13
17,1.0,50.0,8.000000000000002,-0.0028859347356316885,-1.0658141036401503e-14,5.684341886080802e-14
18,1.0,50.0,8.999999999999998,-0.0005457046813508383,0.0,-1.7113421790782013e-11
19,1.0,50.0,10.0,-0.0022145673809452716,0.0,9.627854069549358e-13
20,1.0,60.0,6.0,0.028596417632148832,-7.105427357601002e-15,5.526779034425999e-11
21,1.0,60.0,7.0,-0.023554962218534353,5.684341886080802e-14,-1.9539925233402755e-14
22,1.0,60.0,7.999999999999998,-0.00238176239364298,8.881784197001252e-15,2.7000623958883807e-13
23,1.0,60.0,9.0,-0.0006758619792989222,0.0,-6.52278231427772e-12
24,1.0,60.0,10.0,-0.0041055167717384275,0.0,9.485745522397337e-13
25,1.0,70.0,5.999999999999999,0.02718267461071619,-1.474376176702208e-13,3.1519675758318044e-11
26,1.0,70.0,7.0,-0.020492938965900702,7.105427357601002e-15,-2.4868995751603507e-14
27,1.0,70.0,8.0,-0.0020059777167590405,-3.552713678800501e-15,-3.552713678800501e-15
28,1.0,70.0,9.0,-0.0009708922126256031,0.0,-3.772981926886132e-12
29,1.0,70.0,10.000000000000002,-0.007231541943516574,0.0,1.2967404927621828e-13
30,1.0,80.0,6.0,0.02798027817469175,-3.410605131648481e-13,1.390851878113608e-10
31,1.0,80.0,7.0,-0.018146151945725084,5.924150059399835e-12,-3.552713678800501e-15
32,1.0,80.0,8.0,-0.0017416732276879035,-1.0658141036401503e-14,7.105427357601002e-15
33,1.0,80.0,9.000000000000002,-0.0015104165784825914,-1.7763568394002505e-15,-2.7693403126249905e-12
34,1.0,80.0,10.0,-0.012004808946448564,0.0,1.438849039914203e-13
35,1.0,90.0,5.999999999999999,0.03129373364937205,-1.2612133559741778e-13,1.0037659592398995e-10
36,1.0,90.0,7.0,-0.016336631329406562,3.725020292222325e-12,-1.0658141036401503e-14
37,1.0,90.0,8.0,-0.0015826593729156369,-1.7763568394002505e-15,3.552713678800501e-15
38,1.0,90.0,9.0,-0.0024063443598850735,-1.7763568394002505e-15,-4.105160655853979e-12
39,1.0,90.0,10.0,-0.018641283488898427,-1.7763568394002505e-15,9.769962616701378e-14
40,1.0,100.0,6.0,0.03733035287096621,-2.575717417130363e-13,5.909051026264933e-11
41,1.0,100.0,7.0,-0.01494491865001253,4.3165471197426086e-13,-3.552713678800501e-15
42,1.0,100.0,8.0,-0.0015327295388064112,0.0,2.3092638912203256e-14
43,1.0,100.0,9.000000000000002,-0.0038001282044456985,-1.7763568394002505e-15,-8.544276397515205e-13
44,1.0,100.0,10.0,-0.026940479231599302,0.0,-1.1540990385583427e-11
45,2.0,20.0,5.999999999964932,0.0026113908485497,0.06970571946667192,0.1253414988924959
46,2.0,20.0,7.0,-0.10285273990911022,3.552713678800501e-13,-3.019806626980426e-14
47,2.0,20.0,8.0,-0.011142128089949056,-4.014566457044566e-13,2.645528240918793e-11
48,2.0,20.0,9.0,-0.0014818610739654047,-3.552713678800501e-15,-9.3626439934269e-11
49,2.0,20.0,10.0,-0.0006291834847407,0.0,-8.407496920881385e-12
50,2.0,30.0,6.0,0.09178389371061367,-1.8829382497642655e-13,2.0343193796179548e-10
51,2.0,30.0,7.0,-0.08123246763082703,8.808953566585842e-12,-1.9539925233402755e-14
52,2.0,30.0,8.0,-0.008834495099327575,-8.348877145181177e-14,1.5631940186722204e-13
53,2.0,30.0,8.999999999999998,-0.0011958268451993082,-3.552713678800501e-15,-9.680611867679545e-11
54,2.0,30.0,10.0,-0.001171267510695688,-1.7763568394002505e-15,-2.5224267119483557e-12
55,2.0,40.0,5.999999999999999,0.07528832472719786,1.1546319456101628e-13,6.914824268733355e-11
56,2.0,40.0,7.0,-0.0661223625309639,3.6415315207705135e-13,-1.4210854715202004e-14
57,2.0,40.0,8.0,-0.007096734169973153,6.572520305780927e-14,1.4281908988778014e-12
58,2.0,40.0,9.0,-0.001058428907394193,0.0,-9.062617323252198e-11
59,2.0,40.0,10.0,-0.0022950885837400713,0.0,-5.382361223382759e-13
60,2.0,50.0,6.0,0.06409641922477609,3.552713678800501e-15,1.375290992200462e-10
61,2.0,50.0,7.0,-0.05520609305200444,3.6770586575585185e-12,-9.308109838457312e-13
