# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Osmotic Coeff,Density,Viscosity
2.985667e+02,1.454167e-01,9.026696e+04,2.807144e+03,1.296595e+07,1.567848e-09,1.016060e+00,1.091295e+03,1.169237e-03
2.985667e+02,1.558333e-01,8.904106e+04,2.784766e+03,1.406040e+07,1.576609e-09,1.028173e+00,1.097401e+03,1.192996e-03
2.985667e+02,1.662500e-01,8.781884e+04,2.761976e+03,1.518386e+07,1.585341e-09,1.040758e+00,1.103430e+03,1.217454e-03
2.985667e+02,1.766667e-01,8.660298e+04,2.738777e+03,1.633689e+07,1.593889e-09,1.053765e+00,1.109384e+03,1.242673e-03
2.985667e+02,1.870833e-01,8.539607e+04,2.715169e+03,1.751982e+07,1.602114e-09,1.067146e+00,1.115264e+03,1.268721e-03
2.985667e+02,1.975000e-01,8.420062e+04,2.691156e+03,1.873283e+07,1.609892e-09,1.080850e+00,1.121073e+03,1.295672e-03
2.985667e+02,2.079167e-01,8.301902e+04,2.666740e+03,1.997592e+07,1.617113e-09,1.094830e+00,1.126812e+03,1.323602e-03
2.985667e+02,2.183333e-01,8.185356e+04,2.641927e+03,2.124888e+07,1.623679e-09,1.109035e+00,1.132484e+03,1.352591e-03
2.985667e+02,2.287500e-01,8.070639e+04,2.616723e+03,2.255136e+07,1.629504e-09,1.123417e+00,1.138090e+03,1.382716e-03
2.985667e+02,2.391667e-01,7.957958e+04,2.591134e+03,2.388281e+07,1.634512e-09,1.137926e+00,1.143632e+03,1.414057e-03
2.985667e+02,2.495833e-01,7.847505e+04,2.565167e+03,2.524250e+07,1.638639e-09,1.152513e+00,1.149111e+03,1.446692e-03
2.985667e+02,2.600000e-01,7.739462e+04,2.538830e+03,2.662952e+07,1.641825e-09,1.167130e+00,1.154529e+03,1.480697e-03
3.039833e+02,1.000000e-02,1.276035e+05,4.404769e+03,8.219028e+05,1.795771e-09,9.212862e-01,1.001979e+03,8.154372e-04
3.039833e+02,2.041667e-02,1.262957e+05,4.378285e+03,1.681768e+06,1.763763e-09,9.233267e-01,1.009272e+03,8.260305e-04
3.039833e+02,3.083333e-02,1.249745e+05,4.351620e+03,2.548429e+06,1.739083e-09,9.264589e-01,1.016449e+03,8.384615e-04
3.039833e+02,4.125000e-02,1.236403e+05,4.324707e+03,3.424743e+06,1.720785e-09,9.306322e-01,1.023516e+03,8.523632e-04
3.039833e+02,5.166667e-02,1.222935e+05,4.297486e+03,4.313379e+06,1.708007e-09,9.357961e-01,1.030476e+03,8.674431e-04
3.039833e+02,6.208333e-02,1.209354e+05,4.269911e+03,5.216819e+06,1.699972e-09,9.419000e-01,1.037333e+03,8.834722e-04
3.039833e+02,7.250000e-02,1.195673e+05,4.241942e+03,6.137356e+06,1.695974e-09,9.488934e-01,1.044090e+03,9.002754e-04
3.039833e+02,8.291667e-02,1.181912e+05,4.213546e+03,7.077098e+06,1.695375e-09,9.567257e-01,1.050752e+03,9.177233e-04
3.039833e+02,9.333333e-02,1.168089e+05,4.184696e+03,8.037961e+06,1.697597e-09,9.653465e-01,1.057321e+03,9.357253e-04
3.039833e+02,1.037500e-01,1.154227e+05,4.155372e+03,9.021676e+06,1.702119e-09,9.747050e-01,1.063800e+03,9.542233e-04
3.039833e+02,1.141667e-01,1.140348e+05,4.125559e+03,1.002979e+07,1.708468e-09,9.847510e-01,1.070192e+03,9.731861e-04
3.039833e+02,1.245833e-01,1.126475e+05,4.095244e+03,1.106364e+07,1.716220e-09,9.954336e-01,1.076500e+03,9.926054e-04
3.039833e+02,1.350000e-01,1.112634e+05,4.064421e+03,1.212442e+07,1.724990e-09,1.006703e+00,1.082726e+03,1.012491e-03
3.039833e+02,1.454167e-01,1.098846e+05,4.033084e+03,1.321308e+07,1.734434e-09,1.018507e+00,1.088872e+03,1.032869e-03
3.039833e+02,1.558333e-01,1.085137e+05,4.001235e+03,1.433043e+07,1.744241e-09,1.030797e+00,1.094941e+03,1.053775e-03
3.039833e+02,1.662500e-01,1.071528e+05,3.968873e+03,1.547707e+07,1.754133e-09,1.043521e+00,1.100935e+03,1.075257e-03
3.039833e+02,1.766667e-01,1.058044e+05,3.936002e+03,1.665341e+07,1.763860e-09,1.056629e+00,1.106855e+03,1.097368e-03
3.039833e+02,1.870833e-01,1.044707e+05,3.902629e+03,1.785968e+07,1.773198e-09,1.070071e+00,1.112704e+03,1.120170e-03
3.039833e+02,1.975000e-01,1.031536e+05,3.868759e+03,1.909592e+07,1.781950e-09,1.083796e+00,1.118483e+03,1.143724e-03
3.039833e+02,2.079167e-01,1.018554e+05,3.834404e+03,2.036198e+07,1.789936e-09,1.097753e+00,1.124194e+03,1.168097e-03
3.039833e+02,2.183333e-01,1.005779e+05,3.799571e+03,2.165752e+07,1.797001e-09,1.111892e+00,1.129839e+03,1.193357e-03
3.039833e+02,2.287500e-01,9.932305e+04,3.764273e+03,2.298202e+07,1.803005e-09,1.126163e+00,1.135418e+03,1.219572e-03
3.039833e+02,2.391667e-01,9.809255e+04,3.728521e+03,2.433476e+07,1.807827e-09,1.140514e+00,1.140934e+03,1.246808e-03
3.039833e+02,2.495833e-01,9.688807e+04,3.692328e+03,2.571485e+07,1.811358e-09,1.154895e+00,1.146388e+03,1.275134e-03
3.039833e+02,2.600000e-01,9.571119e+04,3.655707e+03,2.712120e+07,1.813506e-09,1.169256e+00,1.151780e+03,1.304612e-03
3.094000e+02,1.000000e-02,1.499549e+05,6.101082e+03,8.327983e+05,2.021416e-09,9.187746e-01,1.000136e+03,7.192840e-04
3.094000e+02,2.041667e-02,1.483670e+05,6.063981e+03,1.704968e+06,1.970239e-09,9.212990e-01,1.007356e+03,7.296606e-04
3.094000e+02,3.083333e-02,1.467806e+05,6.026663e+03,2.584907e+06,1.930210e-09,9.248976e-01,1.014464e+03,7.414863e-04
3.094000e+02,4.125000e-02,1.451949e+05,5.989032e+03,3.475464e+06,1.899898e-09,9.295185e-01,1.021464e+03,7.544655e-04
3.094000e+02,5.166667e-02,1.436097e+05,5.951009e+03,4.379292e+06,1.878006e-09,9.351098e-01,1.028361e+03,7.683641e-04
3.094000e+02,6.208333e-02,1.420253e+05,5.912527e+03,5.298848e+06,1.863358e-09,9.416197e-01,1.035159e+03,7.829993e-04
3.094000e+02,7.250000e-02,1.404424e+05,5.873533e+03,6.236392e+06,1.854890e-09,9.489963e-01,1.041861e+03,7.982330e-04
3.094000e+02,8.291667e-02,1.388622e+05,5.833985e+03,7.193989e+06,1.851637e-09,9.571876e-01,1.048470e+03,8.139641e-04
3.094000e+02,9.333333e-02,1.372858e+05,5.793849e+03,8.173510e+06,1.852727e-09,9.661419e-01,1.054990e+03,8.301233e-04
3.094000e+02,1.037500e-01,1.357149e+05,5.753099e+03,9.176626e+06,1.857372e-09,9.758073e-01,1.061424e+03,8.466676e-04
3.094000e+02,1.141667e-01,1.341512e+05,5.711718e+03,1.020481e+07,1.864859e-09,9.861317e-01,1.067773e+03,8.635761e-04
3.094000e+02,1.245833e-01,1.325963e+05,5.669692e+03,1.125936e+07,1.874545e-09,9.970635e-01,1.074041e+03,8.808462e-04
3.094000e+02,1.350000e-01,1.310523e+05,5.627016e+03,1.234134e+07,1.885849e-09,1.008551e+00,1.080229e+03,8.984903e-04
3.094000e+02,1.454167e-01,1.295209e+05,5.583687e+03,1.345165e+07,1.898250e-09,1.020541e+00,1.086341e+03,9.165329e-04
3.094000e+02,1.558333e-01,1.280041e+05,5.539708e+03,1.459099e+07,1.911277e-09,1.032984e+00,1.092377e+03,9.350082e-04
3.094000e+02,1.662500e-01,1.265037e+05,5.495085e+03,1.575984e+07,1.924509e-09,1.045826e+00,1.098339e+03,9.539580e-04
3.094000e+02,1.766667e-01,1.250218e+05,5.449825e+03,1.695852e+07,1.937567e-09,1.059016e+00,1.104231e+03,9.734300e-04
3.094000e+02,1.870833e-01,1.235600e+05,5.403941e+03,1.818712e+07,1.950113e-09,1.072502e+00,1.110052e+03,9.934763e-04
3.094000e+02,1.975000e-01,1.221202e+05,5.357446e+03,1.944556e+07,1.961845e-09,1.086232e+00,1.115805e+03,1.014152e-03
3.094000e+02,2.079167e-01,1.207040e+05,5.310354e+03,2.073355e+07,1.972494e-09,1.100154e+00,1.121491e+03,1.035513e-03
3.094000e+02,2.183333e-01,1.193132e+05,5.262684e+03,2.205061e+07,1.981821e-09,1.114217e+00,1.127111e+03,1.057618e-03
3.094000e+02,2.287500e-01,1.179492e+05,5.214452e+03,2.339605e+07,1.989615e-09,1.128368e+00,1.132667e+03,1.080525e-03
3.094000e+02,2.391667e-01,1.166136e+05,5.165678e+03,2.476902e+07,1.995690e-09,1.142555e+00,1.138161e+03,1.104291e-03
3.094000e+02,2.495833e-01,1.153078e+05,5.116381e+03,2.616843e+07,1.999883e-09,1.156728e+00,1.143592e+03,1.128973e-03
3.094000e+02,2.600000e-01,1.140330e+05,5.066583e+03,2.759302e+07,2.002051e-09,1.170833e+00,1.148963e+03,1.154625e-03
3.148167e+02,1.000000e-02,1.723258e+05,8.223492e+03,8.434334e+05,2.244403e-09,9.163346e-01,9.980847e+02,6.380296e-04
3.148167e+02,2.041667e-02,1.704575e+05,8.173157e+03,1.727574e+06,2.172377e-09,9.192954e-01,1.005244e+03,6.482137e-04
3.148167e+02,3.083333e-02,1.686058e+05,8.122524e+03,2.620396e+06,2.115837e-09,9.233146e-01,1.012294e+03,6.595107e-04
3.148167e+02,4.125000e-02,1.667688e+05,8.071468e+03,3.524741e+06,2.072800e-09,9.283390e-01,1.019239e+03,6.716881e-04
3.148167e+02,5.166667e-02,1.649453e+05,8.019885e+03,4.443249e+06,2.041473e-09,9.343153e-01,1.026083e+03,6.845626e-04
3.148167e+02,6.208333e-02,1.631348e+05,7.967693e+03,5.378352e+06,2.020228e-09,9.411904e-01,1.032831e+03,6.979930e-04
3.148167e+02,7.250000e-02,1.613371e+05,7.914821e+03,6.332283e+06,2.007591e-09,9.489112e-01,1.039485e+03,7.118733e-04
3.148167e+02,8.291667e-02,1.595527e+05,7.861219e+03,7.307066e+06,2.002228e-09,9.574244e-01,1.046050e+03,7.261277e-04
3.148167e+02,9.333333e-02,1.577822e+05,7.806843e+03,8.304526e+06,2.002931e-09,9.666769e-01,1.052528e+03,7.407057e-04
3.148167e+02,1.037500e-01,1.560264e+05,7.751666e+03,9.326280e+06,2.008607e-09,9.766156e-01,1.058922e+03,7.555779e-04
3.148167e+02,1.141667e-01,1.542864e+05,7.695668e+03,1.037374e+07,2.018270e-09,9.871871e-01,1.065234e+03,7.707324e-04
3.148167e+02,1.245833e-01,1.525635e+05,7.638836e+03,1.144813e+07,2.031028e-09,9.983385e-01,1.071467e+03,7.861720e-04
3.148167e+02,1.350000e-01,1.508589e+05,7.581166e+03,1.255044e+07,2.046079e-09,1.010016e+00,1.077623e+03,8.019112e-04
3.148167e+02,1.454167e-01,1.491742e+05,7.522660e+03,1.368148e+07,2.062697e-09,1.022168e+00,1.083703e+03,8.179740e-04
3.148167e+02,1.558333e-01,1.475107e+05,7.463325e+03,1.484185e+07,2.080233e-09,1.034739e+00,1.089711e+03,8.343923e-04
3.148167e+02,1.662500e-01,1.458700e+05,7.403173e+03,1.603194e+07,2.098100e-09,1.047678e+00,1.095646e+03,8.512036e-04
3.148167e+02,1.766667e-01,1.442534e+05,7.342219e+03,1.725195e+07,2.115774e-09,1.060930e+00,1.101512e+03,8.684499e-04
3.148167e+02,1.870833e-01,1.426625e+05,7.280482e+03,1.850186e+07,2.132786e-09,1.074444e+00,1.107309e+03,8.861766e-04
3.148167e+02,1.975000e-01,1.410987e+05,7.217983e+03,1.978146e+07,2.148717e-09,1.088164e+00,1.113039e+03,9.044311e-04
3.148167e+02,2.079167e-01,1.395634e+05,7.154746e+03,2.109032e+07,2.163194e-09,1.102039e+00,1.118703e+03,9.232622e-04
3.148167e+02,2.183333e-01,1.380580e+05,7.090797e+03,2.242782e+07,2.175885e-09,1.116016e+00,1.124303e+03,9.427192e-04
3.148167e+02,2.287500e-01,1.365836e+05,7.026161e+03,2.379314e+07,2.186496e-09,1.130040e+00,1.129839e+03,9.628513e-04
3.148167e+02,2.391667e-01,1.351416e+05,6.960868e+03,2.518523e+07,2.194769e-09,1.144059e+00,1.135313e+03,9.837072e-04
3.148167e+02,2.495833e-01,1.337330e+05,6.894946e+03,2.660286e+07,2.200477e-09,1.158020e+00,1.140726e+03,1.005334e-03
3.148167e+02,2.600000e-01,1.323591e+05,6.828425e+03,2.804460e+07,2.203422e-09,1.171869e+00,1.146079e+03,1.027779e-03
3.202333e+02,1.000000e-02,1.947147e+05,1.086737e+04,8.538117e+05,2.467114e-09,9.139625e-01,9.958334e+02,5.698785e-04
3.202333e+02,2.041667e-02,1.925662e+05,1.080062e+04,1.749589e+06,2.374490e-09,9.173130e-01,1.002945e+03,5.798902e-04
