# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Density,Viscosity
2.985667e+02,1.870833e-01,1.062925e+05,2.133682e+04,1.647036e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,1.975000e-01,1.062925e+05,2.127003e+04,1.738742e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,2.079167e-01,1.062925e+05,2.120366e+04,1.830448e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,2.183333e-01,1.062925e+05,2.113770e+04,1.922153e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,2.287500e-01,1.062925e+05,2.107215e+04,2.013859e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,2.391667e-01,1.062925e+05,2.100701e+04,2.105565e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,2.495833e-01,1.062925e+05,2.094227e+04,2.197271e+07,1.471871e-09,1.000000e+03,1.055250e-03
2.985667e+02,2.600000e-01,1.062925e+05,2.087793e+04,2.288976e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.000000e-02,1.289450e+05,2.590382e+04,8.963475e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.041667e-02,1.289450e+05,2.581819e+04,1.830043e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,3.083333e-02,1.289450e+05,2.573311e+04,2.763738e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,4.125000e-02,1.289450e+05,2.564859e+04,3.697434e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,5.166667e-02,1.289450e+05,2.556463e+04,4.631129e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,6.208333e-02,1.289450e+05,2.548122e+04,5.564824e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,7.250000e-02,1.289450e+05,2.539834e+04,6.498520e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,8.291667e-02,1.289450e+05,2.531601e+04,7.432215e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,9.333333e-02,1.289450e+05,2.523421e+04,8.365910e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.037500e-01,1.289450e+05,2.515293e+04,9.299606e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.141667e-01,1.289450e+05,2.507218e+04,1.023330e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.245833e-01,1.289450e+05,2.499194e+04,1.116700e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.350000e-01,1.289450e+05,2.491222e+04,1.210069e+07,1.471871e-09,1.000000e+03,1.055250e-03
