# membrane_cost,LCOW,SEC,Membrane Area,Operating Pressure
2.250000e+01,6.210273e-01,4.041200e+00,1.157195e+02,5.857297e+06
3.750000e+01,6.745803e-01,4.152071e+00,1.015042e+02,6.015110e+06
