# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,RO1_Feed_pH,HCl dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
5.800000e-03,1.000000e-03,9.065181e-01,5.102800e+00,5.926059e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.916667e-01,9.816050e+00,1.932703e+01,1.074559e+02,7.052864e+01,6.889753e+06,1.231432e+06
5.800000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
6.760000e-03,3.000000e-04,9.448858e-01,5.108421e+00,5.941413e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.535604e-01,1.111211e+01,8.092866e+01,1.070789e+02,7.068778e+01,6.915759e+06,1.231827e+06
6.760000e-03,5.000000e-04,9.243640e-01,5.105410e+00,5.933230e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.201278e-01,1.077819e+01,4.797563e+01,1.072799e+02,7.060297e+01,6.901871e+06,1.231616e+06
6.760000e-03,1.000000e-03,9.088081e-01,5.103134e+00,5.926982e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.263889e-01,1.005253e+01,2.300283e+01,1.074333e+02,7.053821e+01,6.891310e+06,1.231456e+06
6.760000e-03,2.400000e-03,8.950996e-01,5.101134e+00,5.921444e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.066057e-01,7.794960e+00,1.000004e+00,1.075691e+02,7.048080e+01,6.881980e+06,1.231313e+06
7.720000e-03,3.000000e-04,9.515329e-01,5.109399e+00,5.944050e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.595687e-01,1.118210e+01,9.160414e+01,1.070141e+02,7.071510e+01,6.920247e+06,1.231894e+06
7.720000e-03,5.000000e-04,9.289130e-01,5.106076e+00,5.935050e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.307479e-01,1.087658e+01,5.527940e+01,1.072352e+02,7.062183e+01,6.904954e+06,1.231663e+06
7.720000e-03,1.000000e-03,9.109410e-01,5.103446e+00,5.927841e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.511905e-01,1.022862e+01,2.642653e+01,1.074122e+02,7.054711e+01,6.892760e+06,1.231478e+06
7.720000e-03,2.400000e-03,8.961308e-01,5.101284e+00,5.921862e-01,5.000000e-01,5.500000e+00,6.034157e+01,5.488723e-01,8.162764e+00,2.655100e+00,1.075589e+02,7.048513e+01,6.882683e+06,1.231324e+06
8.680000e-03,3.000000e-04,9.578128e-01,5.110324e+00,5.946534e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.642005e-01,1.123932e+01,1.016908e+02,1.069531e+02,7.074084e+01,6.924483e+06,1.231958e+06
8.680000e-03,5.000000e-04,9.333814e-01,5.106732e+00,5.936834e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.388753e-01,1.095608e+01,6.245422e+01,1.071914e+02,7.064032e+01,6.907980e+06,1.231709e+06
8.680000e-03,1.000000e-03,9.130794e-01,5.103758e+00,5.928702e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.697917e-01,1.036632e+01,2.985919e+01,1.073911e+02,7.055603e+01,6.894213e+06,1.231500e+06
8.680000e-03,2.400000e-03,8.979095e-01,5.101544e+00,5.922582e-01,5.000000e-01,5.500000e+00,6.034157e+01,6.178345e-01,8.670650e+00,5.509731e+00,1.075412e+02,7.049259e+01,6.883894e+06,1.231343e+06
9.640000e-03,3.000000e-04,9.637570e-01,5.111200e+00,5.948880e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.678801e-01,1.128726e+01,1.112390e+02,1.068954e+02,7.076515e+01,6.928487e+06,1.232018e+06
9.640000e-03,5.000000e-04,9.377546e-01,5.107374e+00,5.938577e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.452954e-01,1.102205e+01,6.947657e+01,1.071486e+02,7.065839e+01,6.910939e+06,1.231754e+06
9.640000e-03,1.000000e-03,9.152579e-01,5.104077e+00,5.929578e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.842593e-01,1.047780e+01,3.335645e+01,1.073696e+02,7.056511e+01,6.895692e+06,1.231522e+06
9.640000e-03,2.400000e-03,8.999957e-01,5.101848e+00,5.923426e-01,5.000000e-01,5.500000e+00,6.034157e+01,6.685083e-01,9.011268e+00,8.858052e+00,1.075205e+02,7.050134e+01,6.885315e+06,1.231364e+06
1.060000e-02,3.000000e-04,9.693733e-01,5.112029e+00,5.951091e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.708738e-01,1.132820e+01,1.202613e+02,1.068410e+02,7.078806e+01,6.932268e+06,1.232075e+06
1.060000e-02,5.000000e-04,9.420078e-01,5.107998e+00,5.940270e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.504951e-01,1.107795e+01,7.630673e+01,1.071070e+02,7.067593e+01,6.913815e+06,1.231797e+06
1.060000e-02,1.000000e-03,9.174778e-01,5.104402e+00,5.930469e-01,5.000000e-01,5.500000e+00,6.034157e+01,8.958333e-01,1.057044e+01,3.692022e+01,1.073477e+02,7.057435e+01,6.897200e+06,1.231545e+06
1.060000e-02,2.400000e-03,9.019359e-01,5.102131e+00,5.924210e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.073171e-01,9.264464e+00,1.197216e+01,1.075013e+02,7.050947e+01,6.886636e+06,1.231384e+06
1.156000e-02,3.000000e-04,9.746921e-01,5.112814e+00,5.953181e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.733570e-01,1.136370e+01,1.288061e+02,1.067896e+02,7.080972e+01,6.935844e+06,1.232128e+06
1.156000e-02,5.000000e-04,9.461303e-01,5.108604e+00,5.941907e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.547920e-01,1.112611e+01,8.292716e+01,1.070668e+02,7.069290e+01,6.916600e+06,1.231839e+06
1.156000e-02,1.000000e-03,9.197114e-01,5.104728e+00,5.931366e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.053030e-01,1.064900e+01,4.050603e+01,1.073257e+02,7.058364e+01,6.898715e+06,1.231568e+06
1.156000e-02,2.400000e-03,9.035504e-01,5.102366e+00,5.924862e-01,5.000000e-01,5.500000e+00,6.034157e+01,7.379913e-01,9.463396e+00,1.456342e+01,1.074853e+02,7.051623e+01,6.887735e+06,1.231401e+06
1.252000e-02,3.000000e-04,9.797403e-01,5.113560e+00,5.955160e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.754501e-01,1.139489e+01,1.369169e+02,1.067409e+02,7.083023e+01,6.939236e+06,1.232179e+06
1.252000e-02,5.000000e-04,9.501218e-01,5.109191e+00,5.943491e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.584027e-01,1.116817e+01,8.933777e+01,1.070279e+02,7.070931e+01,6.919295e+06,1.231880e+06
1.252000e-02,1.000000e-03,9.219700e-01,5.105059e+00,5.932271e-01,5.000000e-01,5.500000e+00,6.034157e+01,9.131945e-01,1.071672e+01,4.413212e+01,1.073035e+02,7.059303e+01,6.900248e+06,1.231592e+06
