# Recovery,Inlet Salinity,LCOW,Specific energy consumption,Evaporator area
5.642857e-01,1.800000e-01,2.690112e+00,7.923966e+00,8.520510e+02
6.000000e-01,3.000000e-02,2.617871e+00,7.656038e+00,7.311481e+02
6.000000e-01,4.666667e-02,2.623845e+00,7.677155e+00,7.470217e+02
6.000000e-01,6.333333e-02,2.630383e+00,7.700503e+00,7.637263e+02
6.000000e-01,8.000000e-02,2.637571e+00,7.726449e+00,7.813434e+02
6.000000e-01,9.666667e-02,2.645509e+00,7.755441e+00,7.999674e+02
6.000000e-01,1.133333e-01,2.654324e+00,7.788039e+00,8.197084e+02
6.000000e-01,1.300000e-01,2.664168e+00,7.824946e+00,8.406967e+02
6.000000e-01,1.466667e-01,2.675237e+00,7.867055e+00,8.630873e+02
6.000000e-01,1.633333e-01,2.687772e+00,7.915522e+00,8.870674e+02
6.000000e-01,1.800000e-01,2.702092e+00,7.971867e+00,9.128655e+02
6.357143e-01,3.000000e-02,2.618206e+00,7.657655e+00,7.751882e+02
6.357143e-01,4.666667e-02,2.624896e+00,7.681346e+00,7.924028e+02
6.357143e-01,6.333333e-02,2.632294e+00,7.707842e+00,8.105819e+02
6.357143e-01,8.000000e-02,2.640517e+00,7.737658e+00,8.298316e+02
6.357143e-01,9.666667e-02,2.649712e+00,7.771447e+00,8.502776e+02
6.357143e-01,1.133333e-01,2.660066e+00,7.810042e+00,8.720703e+02
6.357143e-01,1.300000e-01,2.671811e+00,7.854522e+00,8.953916e+02
6.357143e-01,1.466667e-01,2.685251e+00,7.906309e+00,9.204650e+02
6.357143e-01,1.633333e-01,2.700784e+00,7.967317e+00,9.475690e+02
6.357143e-01,1.800000e-01,2.718944e+00,8.040181e+00,9.770566e+02
6.714286e-01,3.000000e-02,2.618855e+00,7.660332e+00,8.194275e+02
6.714286e-01,4.666667e-02,2.626456e+00,7.687316e+00,8.381385e+02
6.714286e-01,6.333333e-02,2.634968e+00,7.717925e+00,8.579919e+02
6.714286e-01,8.000000e-02,2.644565e+00,7.752925e+00,8.791329e+02
6.714286e-01,9.666667e-02,2.655470e+00,7.793314e+00,9.017377e+02
6.714286e-01,1.133333e-01,2.667973e+00,7.840408e+00,9.260240e+02
6.714286e-01,1.300000e-01,2.682453e+00,7.895986e+00,9.522643e+02
6.714286e-01,1.466667e-01,2.699425e+00,7.962505e+00,9.808066e+02
6.714286e-01,1.633333e-01,2.719599e+00,8.043450e+00,1.012105e+03
6.714286e-01,1.800000e-01,2.743984e+00,8.143938e+00,1.046764e+03
7.071429e-01,3.000000e-02,2.619905e+00,7.664394e+00,8.639457e+02
7.071429e-01,4.666667e-02,2.628702e+00,7.695723e+00,8.843793e+02
7.071429e-01,6.333333e-02,2.638715e+00,7.731921e+00,9.062068e+02
7.071429e-01,8.000000e-02,2.650217e+00,7.774191e+00,9.296387e+02
7.071429e-01,9.666667e-02,2.663568e+00,7.824163e+00,9.549404e+02
7.071429e-01,1.133333e-01,2.679257e+00,7.884098e+00,9.824531e+02
7.071429e-01,1.300000e-01,2.697961e+00,7.957220e+00,1.012625e+03
7.071429e-01,1.466667e-01,2.720652e+00,8.048286e+00,1.046059e+03
7.071429e-01,1.633333e-01,2.748770e+00,8.164602e+00,1.083594e+03
7.071429e-01,1.800000e-01,2.784557e+00,8.317967e+00,1.126439e+03
7.428571e-01,3.000000e-02,2.621507e+00,7.670389e+00,9.088722e+02
7.428571e-01,4.666667e-02,2.631939e+00,7.707708e+00,9.313755e+02
7.428571e-01,6.333333e-02,2.644077e+00,7.751904e+00,9.556542e+02
7.428571e-01,8.000000e-02,2.658380e+00,7.805022e+00,9.820398e+02
7.428571e-01,9.666667e-02,2.675485e+00,7.869994e+00,1.010971e+03
7.428571e-01,1.133333e-01,2.696315e+00,7.951170e+00,1.043046e+03
7.428571e-01,1.300000e-01,2.722244e+00,8.055278e+00,1.079101e+03
7.428571e-01,1.466667e-01,2.755434e+00,8.193279e+00,1.120362e+03
7.428571e-01,1.633333e-01,2.799480e+00,8.384258e+00,1.168699e+03
7.428571e-01,1.800000e-01,2.860880e+00,8.664501e+00,1.227149e+03
7.785714e-01,3.000000e-02,2.623930e+00,7.679302e+00,9.544314e+02
7.785714e-01,4.666667e-02,2.636732e+00,7.725379e+00,9.795757e+02
7.785714e-01,6.333333e-02,2.652093e+00,7.781882e+00,1.007131e+03
7.785714e-01,8.000000e-02,2.670874e+00,7.852704e+00,1.037681e+03
7.785714e-01,9.666667e-02,2.694368e+00,7.943907e+00,1.072055e+03
7.785714e-01,1.133333e-01,2.724623e+00,8.065460e+00,1.111482e+03
7.785714e-01,1.300000e-01,2.765090e+00,8.234924e+00,1.157871e+03
