# electricity_cost,LCOW,SEC,Membrane Area,Operating Pressure
5.250000e-02,6.129337e-01,4.399637e+00,1.049546e+02,6.367733e+06
8.750000e-02,7.656138e-01,4.352449e+00,1.107251e+02,6.300569e+06
