# membrane_cost,LCOW,SEC,Membrane Area,Operating Pressure
2.250000e+01,6.177436e-01,4.021828e+00,1.106845e+02,5.840246e+06
3.750000e+01,6.720062e-01,4.105866e+00,1.007568e+02,5.960105e+06
