# evaporator_unit_cost,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
7.500000e+02,4.075738e+00,1.997586e+01,9.085026e+02,1.531440e+00,1.867224e+02,2.095995e+02,5.529678e+06,3.231622e+04
1.250000e+03,4.901767e+00,2.402619e+01,7.116070e+02,1.673908e+00,1.529873e+02,1.695540e+02,5.529678e+06,3.231622e+04
