# electricity_cost,LCOW,SEC,Membrane Area,Operating Pressure
5.250000e-02,5.747180e-01,4.073229e+00,1.043581e+02,5.913555e+06
8.750000e-02,7.159009e-01,4.021828e+00,1.106845e+02,5.840246e+06
