# membrane_cost,LCOW,SEC,Membrane Area,Operating Pressure
2.250000e+01,6.616720e-01,4.352449e+00,1.107251e+02,6.300569e+06
3.750000e+01,7.160664e-01,4.434488e+00,1.011121e+02,6.417341e+06
