# compressor_unit_cost,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
5.523000e+03,4.415671e+00,2.257131e+01,7.683235e+02,1.620983e+00,1.716567e+02,2.038227e+02,4.825105e+06,3.244824e+04
9.205000e+03,4.633554e+00,2.218832e+01,7.857382e+02,1.607387e+00,1.761692e+02,2.086062e+02,4.825105e+06,3.244824e+04
