# evaporator_unit_cost,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
7.500000e+02,4.011131e+00,1.944969e+01,8.952433e+02,1.514207e+00,1.913834e+02,2.269605e+02,5.425217e+06,3.338089e+04
1.250000e+03,4.830010e+00,2.339827e+01,7.086427e+02,1.651091e+00,1.516609e+02,1.794736e+02,5.425217e+06,3.338089e+04
