# electricity_cost,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
5.250000e-02,3.343358e+00,2.817868e+01,5.753148e+02,1.837294e+00,1.251956e+02,1.520360e+02,4.825105e+06,3.244824e+04
8.750000e-02,4.238449e+00,2.348083e+01,7.296833e+02,1.653832e+00,1.620619e+02,1.930717e+02,4.825105e+06,3.244824e+04
