# electricity_cost,LCOW,SEC,Membrane Area,Operating Pressure
5.250000e-02,5.772041e-01,4.121022e+00,1.050559e+02,5.970912e+06
8.750000e-02,7.197602e-01,4.041200e+00,1.157195e+02,5.857298e+06
