# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
5.777778e-01,1.500000e-01,5.276612e+00,3.115865e+01,9.070532e+02,3.481500e+02,2.358361e+04,1.969319e+00
6.222222e-01,3.500000e-02,4.208362e+00,1.940499e+01,9.350103e+02,3.481500e+02,3.622826e+04,1.513170e+00
6.222222e-01,4.777778e-02,4.261210e+00,1.996439e+01,9.502051e+02,3.481500e+02,3.516219e+04,1.531818e+00
6.222222e-01,6.055556e-02,4.327943e+00,2.067565e+01,9.646955e+02,3.481500e+02,3.394846e+04,1.555893e+00
6.222222e-01,7.333333e-02,4.412562e+00,2.158795e+01,9.775640e+02,3.481500e+02,3.257281e+04,1.587402e+00
6.222222e-01,8.611111e-02,4.520147e+00,2.276468e+01,9.874491e+02,3.481500e+02,3.102483e+04,1.629144e+00
6.222222e-01,9.888889e-02,4.657090e+00,2.428545e+01,9.925025e+02,3.481500e+02,2.929789e+04,1.685043e+00
6.222222e-01,1.116667e-01,4.831309e+00,2.624626e+01,9.904129e+02,3.481500e+02,2.738917e+04,1.760625e+00
6.222222e-01,1.244444e-01,5.052295e+00,2.875585e+01,9.785101e+02,3.481500e+02,2.529967e+04,1.863735e+00
6.222222e-01,1.372222e-01,5.330729e+00,3.192805e+01,9.537730e+02,3.481500e+02,2.303419e+04,2.005805e+00
6.222222e-01,1.500000e-01,5.676946e+00,3.587300e+01,9.119170e+02,3.481500e+02,2.060134e+04,2.204594e+00
6.666667e-01,3.500000e-02,4.201334e+00,1.948637e+01,1.008941e+03,3.481500e+02,3.585497e+04,1.516099e+00
6.666667e-01,4.777778e-02,4.269678e+00,2.020249e+01,1.024480e+03,3.481500e+02,3.457652e+04,1.540059e+00
6.666667e-01,6.055556e-02,4.358267e+00,2.114388e+01,1.038304e+03,3.481500e+02,3.309878e+04,1.572209e+00
6.666667e-01,7.333333e-02,4.473708e+00,2.239283e+01,1.048652e+03,3.481500e+02,3.140416e+04,1.616069e+00
6.666667e-01,8.611111e-02,4.624617e+00,2.405717e+01,1.052960e+03,3.481500e+02,2.948135e+04,1.676801e+00
6.666667e-01,9.888889e-02,4.822048e+00,2.627184e+01,1.047858e+03,3.481500e+02,2.732532e+04,1.762012e+00
6.666667e-01,1.116667e-01,5.079640e+00,2.919342e+01,1.029359e+03,3.481500e+02,2.493732e+04,1.883036e+00
6.666667e-01,1.244444e-01,5.412853e+00,3.298603e+01,9.928197e+02,3.481500e+02,2.232489e+04,2.057325e+00
6.666667e-01,1.372222e-01,5.835345e+00,3.780790e+01,9.302921e+02,3.481500e+02,1.950186e+04,2.314469e+00
6.666667e-01,1.500000e-01,6.686536e+00,4.392123e+01,1.072581e+03,3.357246e+02,9.389869e+03,2.637880e+00
7.111111e-01,3.500000e-02,4.208100e+00,1.968101e+01,1.082295e+03,3.481500e+02,3.533914e+04,1.522782e+00
7.111111e-01,4.777778e-02,4.299873e+00,2.064069e+01,1.097374e+03,3.481500e+02,3.375207e+04,1.555144e+00
7.111111e-01,6.055556e-02,4.423367e+00,2.196035e+01,1.108522e+03,3.481500e+02,3.188542e+04,1.600950e+00
7.111111e-01,7.333333e-02,4.590580e+00,2.379056e+01,1.112117e+03,3.481500e+02,2.971844e+04,1.667156e+00
7.111111e-01,8.611111e-02,4.817624e+00,2.632942e+01,1.103066e+03,3.481500e+02,2.724155e+04,1.764648e+00
7.111111e-01,9.888889e-02,5.125136e+00,2.981440e+01,1.075115e+03,3.481500e+02,2.445628e+04,1.910678e+00
7.111111e-01,1.116667e-01,5.536598e+00,3.449476e+01,1.020593e+03,3.481500e+02,2.137530e+04,2.133902e+00
7.111111e-01,1.244444e-01,6.158362e+00,3.883156e+01,1.134699e+03,3.466842e+02,1.690668e+04,2.369384e+00
7.111111e-01,1.372222e-01,nan,nan,nan,nan,nan,nan
7.111111e-01,1.500000e-01,nan,nan,nan,nan,nan,nan
7.555556e-01,3.500000e-02,4.234590e+00,2.005725e+01,1.154690e+03,3.481500e+02,3.458195e+04,1.535575e+00
7.555556e-01,4.777778e-02,4.365835e+00,2.143906e+01,1.167198e+03,3.481500e+02,3.251496e+04,1.582877e+00
7.555556e-01,6.055556e-02,4.552228e+00,2.346087e+01,1.170312e+03,3.481500e+02,3.003659e+04,1.655230e+00
7.555556e-01,7.333333e-02,4.818572e+00,2.642996e+01,1.155956e+03,3.481500e+02,2.712681e+04,1.768979e+00
7.555556e-01,8.611111e-02,5.198308e+00,3.073194e+01,1.113653e+03,3.481500e+02,2.378728e+04,1.952311e+00
7.555556e-01,9.888889e-02,5.729070e+00,3.677285e+01,1.029003e+03,3.481500e+02,2.004139e+04,2.257546e+00
7.555556e-01,1.116667e-01,6.901269e+00,4.467234e+01,1.271423e+03,3.340631e+02,8.363565e+03,2.682197e+00
7.555556e-01,1.244444e-01,nan,nan,nan,nan,nan,nan
7.555556e-01,1.372222e-01,nan,nan,nan,nan,nan,nan
7.555556e-01,1.500000e-01,nan,nan,nan,nan,nan,nan
8.000000e-01,3.500000e-02,4.296593e+00,2.078876e+01,1.224680e+03,3.481500e+02,3.337095e+04,1.560596e+00
8.000000e-01,4.777778e-02,4.505429e+00,2.302779e+01,1.227983e+03,3.481500e+02,3.048567e+04,1.639618e+00
8.000000e-01,6.055556e-02,4.826696e+00,2.659730e+01,1.206235e+03,3.481500e+02,2.696005e+04,1.775981e+00
8.000000e-01,7.333333e-02,5.319941e+00,3.218571e+01,1.140138e+03,3.481500e+02,2.279483e+04,2.020620e+00
8.000000e-01,8.611111e-02,6.135106e+00,3.870139e+01,1.226170e+03,3.468752e+02,1.706452e+04,2.365044e+00
8.000000e-01,9.888889e-02,nan,nan,nan,nan,nan,nan
8.000000e-01,1.116667e-01,nan,nan,nan,nan,nan,nan
8.000000e-01,1.244444e-01,nan,nan,nan,nan,nan,nan
8.000000e-01,1.372222e-01,nan,nan,nan,nan,nan,nan
8.000000e-01,1.500000e-01,nan,nan,nan,nan,nan,nan
